item_id,name,baseprice
30310,2 piece suit,16
30311,Blouse,10
30312,Gown,25
30314,Raincoat,8.8
30315,FUR COAT,0
30316,FUR STOLE,0
30319,BULK,0
30320,Pillow case,3.45
30323,Shirt-dc,4.65
30324,Sweater,6.5
30325,2 PIECE TUXEDO,13
30326,Coat,13.65
30327,Jacket-outer,9.15
30328,Jumpsuit,10.9
30329,Robe,9.25
30330,Shorts,4.65
30331,Tie,2.65
30332,3-piece suit,11.95
30333,Coat 3/4,12.7
30334,Jacket-sport,9.35
30335,Pants,5.8
30336,Scarf,3.1
30337,Skirt,7.8
30338,Vest,4.15
30366,Warmup suit,9.85
30367,LEATHER GLOVES,0
30368,LEATHER VEST,0
30369,SUEDE DRESS,0
30370,SUEDE PANTS,0
30372,FUR HAT,0
30373,LEATHER COAT,0
30374,LEATHER PANTS,0
30375,LTH JACKET,0
30376,SUEDE GLOVES,0
30377,SUEDE SKIRT,0
30379,FUR JACKET,0
30380,LEATHER DRESS,0
30381,LEATHER SKIRT,0
30382,SUEDE COAT,0
30383,SUEDE JACKET,0
30384,SUEDE VEST,0
30419,Towel,3.45
30424,Hankies,2.9
30425,Sheets,11.25
30426,WASH & FOLD 1-10LBS,20
30431,NAPKINS,0
30432,TABLE CLOTH,0
30444,Dress,10.5
30445,Wash fold 10+,0
30843,AFGHAN,0
30844,BLANKET,0
30845,CURTAIN,0
30846,DRAPES-LINED,0
30847,DRAPES-WH-LN,0
30848,NAPKIN,0
30849,RUG,0
30850,ARM COVER,0
30851,Comforter,0
30852,CUSHION COVER,0
30853,DRAPES-UNLINED,0
30854,DRAPES-WHITE,0
30855,PILLOW SHAM,0
30856,SHEERS,0
30857,BED SPREAD,0
30858,COUCH COVER,0
30859,DOILIES,0
30860,DRAPES-VELVET,0
30861,DUST RUFFLE,0
30862,QUILT,0
30863,SOFA COVER,0
30864,TABLE CLOTH,0
30865,SLEEPING BAG,0
30871,TIE BACKS,0
30878,VALANCE,0
32009,2 PIECE SUIT,0
32010,BLOUSE,0
32011,GOWN,0
32012,JEANS,0
32013,RAINCOAT,0
32014,SHIRT D C,0
32015,SWEATER,0
32016,2 PIECE TUXEDO,0
32017,COAT,0
32018,JACKET OUTER,0
32019,JUMPSUIT,0
32020,ROBE,0
32021,SHORTS,0
32022,TIE,0
32023,3 PIECE SUIT,0
32024,COAT 3/4,0
32025,JACKET SPORTS,0
32026,PANTS,0
32027,SCARF,0
32028,SKIRT,0
32029,VEST,0
32030,WARMUP SUIT,0
32037,DRESS,0
32050,SHIRT,0
32051,AFGHAN,0
32052,BLANKET,0
32053,CURTAIN,0
32054,DRAPES LINED,0
32055,DRAPE WH LN,0
32056,NAPKIN,0
32057,RUG,0
32058,ARM COVER,0
32059,COMFORTER,0
32060,CUSHION COVER,0
32061,DRAPES UNLINED,0
32062,DRAPES WHITE,0
32063,PILLOW SHAM,0
32064,SHEERS,0
32065,BED SPREAD,0
32066,COUCH COVER,0
32067,DOILIES,0
32068,DRAPES VELVET,0
32069,DUST RUFFLE,0
32070,QUILT,0
32071,SOFA COVER,0
32072,TABLE CLOTH,0
32073,SLEEPING BAG,0
32079,TIE BACKS,0
32086,VALANCE,0
32087,BULK,0
32088,PILLOW CASE,0
32089,TOWEL,0
32094,HANKIES,0
32095,SHEETS,0
32101,NAPKINS,0
32102,TABLE CLOTH,0
32104,FUR COAT,0
32105,FUR STOLE,0
32106,LEATHER GLOVES,0
32107,LEATHER VEST,0
32108,SUEDE DRESS,0
32109,SUEDE PANTS,0
32111,FUR HAT,0
32112,LEATHER COAT,0
32113,LEATHER PANTS,0
32114,LEATHER JKT,0
